"building-forces"
"Iteration" "fx-building etc.."
("Iteration" "fx-building" "fy-building")
1 3072.466460612281 -80.94788963199392
2 3609.143868949288 -164.3705393701202
3 3824.97735824973 -479.9657786642717
4 3689.821208747841 -266.0253472013121
5 3440.305567368326 -122.7696974948749
6 3298.203767301896 -61.69735556807905
7 3150.414488564845 -60.11320430121145
8 3048.243575536791 -85.10798134620131
9 2992.219761140121 -184.1117523318678
10 2964.700564620695 -395.3877518362347
11 2906.04874193435 -749.941134512054
12 2783.900599107953 -1112.041271105296
13 2634.518035915782 -1320.018004496787
14 2536.340914926754 -1340.063717602475
15 2518.619924337587 -1269.899881098217
16 2528.559006943457 -1163.308704793345
17 2554.089503041569 -1023.278195053992
18 2564.648399448188 -874.2470737185328
19 2562.997233599051 -740.8220660403397
20 2545.588116969418 -620.1472382536841
21 2511.32913810328 -517.575171406508
22 2468.423983649112 -428.5099604921029
23 2424.765543180365 -345.732295187346
24 2391.45627567142 -263.9358607456291
25 2374.30495806015 -177.1960005719421
26 2377.331120673228 -79.96376404311462
27 2404.380154520558 29.97890769742088
28 2452.432291014026 147.7038930338733
29 2513.896627125757 262.9690411050462
30 2578.981947002598 363.8266431263526
31 2638.875725302066 438.8124302159551
32 2685.128261058554 478.6834310929247
33 2711.811483366047 474.0462601131402
34 2718.57265381376 417.0622690985415
35 2713.497361111289 301.355052132324
36 2711.704764256985 132.9548680354429
37 2741.172194850224 -59.79666635938773
38 2839.476599109988 -222.2922901152444
39 3013.790692334145 -285.1028018274284
40 3247.528738605683 -187.6962102025782
41 3502.441418989977 19.79272833620951
42 3759.992636744911 157.1431127004139
43 3952.210883028568 173.1723179187984
44 4071.517036402123 172.6804581208676
45 4155.058096468279 222.4764996079043
46 4214.85099207272 278.3562862419251
47 4248.488997674662 300.6436442709598
48 4260.681069291355 302.0021873956159
49 4263.144886231497 303.6049691105766
50 4260.960017409212 307.1468319089495
51 4254.414420655616 309.1405477189542
52 4244.755656576512 311.7438401177953
53 4234.500818030696 317.5760431805193
54 4224.800821877113 325.2695664526225
55 4215.600082161432 332.8953755688483
56 4206.865957026714 340.3376307732772
57 4198.881088696622 347.8898700000068
58 4191.685004260346 355.3329234144398
59 4185.188878180584 362.2606253618151
60 4179.326970487144 368.4908312559512
61 4174.111616177672 374.0548712324307
62 4169.541208503174 378.8939544574789
63 4165.572560764619 382.9651004228901
64 4162.149201700146 386.3452284342532
65 4159.261265252492 389.2098021230306
66 4156.843362231029 391.6586106643499
67 4154.828793738197 393.7404269339972
68 4153.135647266474 395.5300851902057
69 4151.751738094808 397.0427502516616
70 4150.647584323473 398.2793325324942
71 4149.786513974032 399.3341210868114
72 4149.147586470001 400.2839423784551
73 4148.690818305722 401.1504270420244
74 4148.3842544588 401.9485172271027
75 4148.207832910025 402.6946822016441
76 4148.136446364059 403.3917752316099
77 4148.150401549346 404.0354765662255
78 4148.228894956796 404.6238854926135
79 4148.358821399441 405.1507203284491
80 4148.524273816155 405.6382543322309
81 4148.72239889565 406.1046033883047
82 4148.93985017649 406.5331810801974
83 4149.165146628156 406.9224482261495
84 4149.39592003699 407.2816380060178
85 4149.628002554906 407.6100453910065
86 4149.853186999919 407.9036065439184
87 4150.067584052359 408.1647636966402
88 4150.270159255011 408.3996148373999
89 4150.458734613469 408.6087393741927
90 4150.63095554914 408.79284476199
91 4150.785747284708 408.9545531821568
92 4150.922965663935 409.0963696788494
93 4151.044472022311 409.2228500874567
94 4151.14980524546 409.3325998933417
95 4151.236595064868 409.4256018996932
96 4151.306143173305 409.5056633832362
97 4151.360233798781 409.5729703073969
98 4151.400192617466 409.628000584278
99 4151.427239271589 409.6728311857255
100 4151.443326973061 409.7101104093431
101 4151.449631603089 409.7405139964178
102 4151.447479841119 409.7652918439871
103 4151.438154360631 409.7854309118277
104 4151.422857488096 409.8014149855885
105 4151.402626596573 409.8138710927674
106 4151.378414077612 409.8232343937079
107 4151.351189132944 409.830099206486
108 4151.321608495586 409.8347771932545
109 4151.290350903861 409.8375424588035
110 4151.258113983688 409.8387208666281
111 4151.225532803533 409.8386687535033
112 4151.192977450488 409.8376273461938
113 4151.160851303455 409.835808973399
114 4151.129517695996 409.833525493478
115 4151.099297326111 409.8309205427981
116 4151.070349878441 409.8281453516565
117 4151.042830630753 409.8253312716379
118 4151.016901748752 409.8225434800129
119 4150.992674014983 409.8198850290266
120 4150.970192698744 409.8173840249935
121 4150.949472514438 409.815075493254
122 4150.930529072569 409.81302688194
123 4150.913317749406 409.8112533035082
124 4150.897787604161 409.8097286331815
125 4150.883668056816 409.808611753469
