"building-forces"
"Iteration" "fx-building etc.."
("Iteration" "fx-building" "fy-building")
1 3186.065428364236 -83.94765207605155
2 3742.561757755421 -170.5162758647693
3 3966.396030714946 -497.8075224259999
4 3826.262466703038 -275.95904459959
5 3567.530850841381 -127.3676911711691
6 3420.161043175203 -63.96179692801707
7 3266.912140331345 -62.3078170642998
8 3160.970642476917 -88.24600667759591
9 3102.862837272943 -190.8878833897095
10 3074.316870051276 -409.9505927960934
11 3013.515665866219 -777.5758421508527
12 2886.852868890229 -1153.075568487966
13 2731.945842606962 -1368.790237460283
14 2630.126178724463 -1389.628947788686
15 2611.72968650913 -1316.9123406754
16 2622.008112200046 -1206.412512214374
17 2648.473870442219 -1061.236151867371
18 2659.443867586375 -906.8053351149032
19 2657.700691192842 -768.4095358493321
20 2639.52048696264 -643.3967174306631
21 2603.642023075338 -537.3931254311499
22 2558.996730156711 -445.0679452710665
23 2513.529846079378 -359.179447591852
24 2479.318811294715 -274.5578896238138
25 2461.537465402639 -184.8457788244931
26 2464.460970851643 -83.80486336507886
27 2491.96876743473 30.28619563700289
28 2541.397209974689 152.1649654620515
29 2604.364048975141 271.612154783536
30 2671.652424284484 378.0737200078976
31 2732.656101482769 457.8773117930014
32 2779.935692315857 500.0257507943892
33 2806.440932568616 496.7060130902919
34 2813.348343646092 439.9134969954319
35 2808.209652175961 322.9735643576527
36 2805.540940470464 151.3343319384267
37 2834.278408798606 -47.93054202879313
38 2931.810439797248 -221.2399911575897
39 3107.438006334316 -296.1286214574535
40 3344.629100434253 -208.3207844236332
41 3608.026539894166 3.346256934592134
42 3877.458530946932 157.5950235170285
43 4087.791676913139 182.9658606925495
44 4215.640217142082 177.9127002304704
45 4303.284153039097 223.6038956169784
46 4367.720906761937 286.2869000250139
47 4404.816948598169 312.7372600505028
48 4418.09661746494 313.2632633313513
49 4420.879020037471 314.1704660444184
50 4419.048790984699 318.1617534617233
51 4412.610964814402 320.3472686755988
52 4402.602637328664 322.7254530492864
53 4391.856299911807 328.6001744204677
54 4381.761710609283 336.6056660338268
55 4372.194871852828 344.5277044978827
56 4363.065616132104 352.1824149409642
57 4354.707817197245 360.0287714353085
58 4347.204163033613 367.7900923262664
59 4340.434739302658 375.010861105286
60 4334.312030442597 381.5330679144402
61 4328.85854771378 387.3957074407247
62 4324.072874284577 392.5002093611511
63 4319.912920297802 396.7861645803057
64 4316.322154029171 400.3414880276148
65 4313.291001068545 403.3489593623801
66 4310.749428493612 405.9107449849569
67 4308.632539342378 408.0885177107734
68 4306.85430904776 409.9770391946249
69 4305.399107922255 411.5754786428772
70 4304.232542186776 412.8843807198652
71 4303.318353752069 414.0013831815108
72 4302.635325507918 414.9892937190443
73 4302.143664376588 415.8868880104258
74 4301.81177519124 416.7179484862652
75 4301.617796568771 417.4955104138417
76 4301.534411385299 418.2228265914243
77 4301.540798125417 418.895505594767
78 4301.616371671336 419.5112765127481
79 4301.749822916424 420.0809365122434
80 4301.921881091357 420.5913128074988
81 4302.120027770568 421.0618631542841
82 4302.3420572205 421.5091980549257
83 4302.577838647996 421.9192854413757
84 4302.816924768656 422.2907652230258
85 4303.055818979283 422.6313950502101
86 4303.290116262349 422.9416558165315
87 4303.514479750997 423.2167282745067
88 4303.725706232914 423.4616897005969
89 4303.922346662277 423.6800558355571
90 4304.102842803472 423.873608597037
91 4304.265239558134 424.0435509149711
92 4304.409123896875 424.1920262855929
93 4304.534780246626 424.3212501164057
94 4304.644401233716 424.436112350046
95 4304.737528476863 424.5349828594856
96 4304.812507785725 424.6185942870584
97 4304.870895688673 424.6902832615083
98 4304.914523961357 424.750188552644
99 4304.944473822458 424.7985046014503
100 4304.962586751522 424.8378031812179
101 4304.970383214253 424.8698439044495
102 4304.969304808014 424.8959963253096
103 4304.960523596634 424.9171443475882
104 4304.945301663725 424.933890139913
105 4304.924835068047 424.9470611636063
106 4304.900175844332 424.9570231900541
107 4304.872319696256 424.9642664003566
108 4304.841927030022 424.9690941805613
109 4304.809730421773 424.971893646833
110 4304.77643233686 424.9730416138977
111 4304.74268694487 424.9729088222832
112 4304.708885901372 424.9717715008176
113 4304.67549213017 424.9698684314612
114 4304.642898508429 424.967505994254
115 4304.611436583925 424.9648112258167
116 4304.581271530953 424.9619283057968
117 4304.5525666629 424.9589911764087
118 4304.525510873564 424.9560796367641
119 4304.500215345899 424.9533014496471
120 4304.476713703957 424.9506826750373
121 4304.455032985639 424.9482567061934
122 4304.435183597904 424.9460775762902
123 4304.417133874224 424.9441816602755
124 4304.400835410655 424.9425536576314
125 4304.386003299356 424.9413510844495
