"building-forces"
"Iteration" "fx-building etc.."
("Iteration" "fx-building" "fy-building")
1 3117.696697396506 -55.06128491983634
2 3654.26503736488 -126.3420332660178
3 3871.122505906405 -431.7072305466847
4 3744.903411807552 -192.5087621819173
5 3503.534327720497 -31.62368724760358
6 3366.409169516463 45.84347886530486
7 3226.370283931116 64.79467628009638
8 3131.984970488349 38.46175854794478
9 3087.415667677482 -95.83093608529475
10 3063.058231011413 -373.7150727686667
11 2982.088126329291 -789.1011090136932
12 2841.283620935703 -1157.262755662494
13 2700.178007361644 -1320.530588310859
14 2620.790450264797 -1272.02505105284
15 2637.334892297426 -1178.391242210773
16 2661.465384116538 -1065.144913962161
17 2678.659127277202 -917.1917582133995
18 2684.534007163358 -760.4791473087229
19 2676.373971576713 -623.3694597485709
20 2657.169579058572 -498.5024993549911
21 2623.657821848322 -388.8408965489538
22 2588.371700051382 -287.0886169721956
23 2557.233805639241 -190.0202982135538
24 2538.303642650144 -93.42398350706711
25 2537.06028667777 8.622959881999918
26 2555.452585999824 119.3633230409162
27 2592.253498111506 237.0864055567888
28 2643.254015053632 355.4124421247948
29 2701.662828161888 465.9718288904554
30 2759.106832978402 559.5334716639761
31 2808.114532092602 625.2417863053257
32 2843.805873603614 655.3368314432162
33 2861.630978237914 642.3993480381068
34 2860.690598477217 577.3749105902407
35 2846.838969731842 452.1589156883427
36 2831.993802880529 267.5964366820874
37 2841.290533875032 46.85669494119514
38 2913.139797112994 -160.2334803634965
39 3062.939658109574 -280.2348024963958
40 3280.95469783878 -233.5807640817898
41 3532.215355967812 -43.43966410074336
42 3796.608094643042 119.3120392321111
43 4009.318343724378 152.5773335338142
44 4142.302484105758 147.992210202671
45 4232.547476783512 191.7517314458892
46 4297.324685490703 251.167009904487
47 4336.136360451268 276.8665637332506
48 4351.171651082813 278.491183049468
49 4354.466171214903 281.2296540508542
50 4352.496989261926 287.2976797334261
51 4346.06368032023 291.3413034974833
52 4336.558310860346 294.4559908007284
53 4326.317085774787 299.8882796341388
54 4316.541013316337 306.9647046026571
55 4307.202728541235 314.0110488898795
56 4298.259578709139 320.8941311495191
57 4290.044999325695 327.9584671714294
58 4282.656074596051 334.9575347719083
59 4275.95034663363 341.4371816949065
60 4269.885463998464 347.3517017734584
61 4264.49715875416 352.7706341267583
62 4259.739053758201 357.6275190493261
63 4255.565087542995 361.7956458402339
64 4251.970293895806 365.2844891595328
65 4248.907203904905 368.2021935072776
66 4246.341976751743 370.6635718751479
67 4244.217279237329 372.7451392256019
68 4242.474812565354 374.5186002486671
69 4241.06437922616 376.0437021855932
70 4239.935419751748 377.3835603095019
71 4239.051921949777 378.5375359096302
72 4238.384147145429 379.4978496667545
73 4237.90197285393 380.3288401341526
74 4237.583278874247 381.0941020379266
75 4237.401322291219 381.8093969029762
76 4237.324979072509 382.4684359166981
77 4237.337009011862 383.0822197417494
78 4237.417539397617 383.6346225185732
79 4237.551519027746 384.147193538776
80 4237.730081759009 384.6383572976436
81 4237.938409307182 385.093339083814
82 4238.162917798246 385.5110908305271
83 4238.399042304443 385.9009379284828
84 4238.642673412332 386.2624256607148
85 4238.885494132983 386.5901358223139
86 4239.121970446309 386.8876202374947
87 4239.349609836628 387.1603778470635
88 4239.565239421276 387.4085981503222
89 4239.766037015187 387.6314377328522
90 4239.950349703872 387.8310248809396
91 4240.11725039037 388.0091285070448
92 4240.266095970078 388.1674071051427
93 4240.396429601206 388.3076968020723
94 4240.510092273918 388.4353739520077
95 4240.606855198678 388.548375144971
96 4240.685541627436 388.6465485660453
97 4240.747485032041 388.7327319340495
98 4240.794229466963 388.8064083170668
99 4240.827097752189 388.8682336386792
100 4240.847713752212 388.9206237910159
101 4240.857718402483 388.9656692543017
102 4240.858369569934 389.0039633532285
103 4240.850875566491 389.0362157583795
104 4240.836624586251 389.0633282641654
105 4240.816812457165 389.0859691611354
106 4240.792372347305 389.1045555375254
107 4240.76427018297 389.1195890677095
108 4240.733449763649 389.1316184548359
109 4240.700656411314 389.1411604646889
110 4240.666549184204 389.148537039639
111 4240.631705892112 389.1540380202705
112 4240.596671667713 389.1580020311435
113 4240.561920950509 389.1607583867433
114 4240.527827239706 389.1625108568289
115 4240.494727352201 389.1634619707904
116 4240.462881015666 389.1638076444929
117 4240.432501717381 389.1637168164086
118 4240.403786000607 389.1633182879807
119 4240.376863096866 389.1627178990343
120 4240.351811831199 389.1620093241327
121 4240.328677218885 389.1612733923007
122 4240.307475298278 389.160563534314
123 4240.288183469473 389.1599256032996
124 4240.270767039625 389.1593699279276
