"building-forces"
"Iteration" "fx-building etc.."
("Iteration" "fx-building" "fy-building")
1 3195.126685699967 -113.1862950495017
2 3760.403625682463 -219.7400225623257
3 3987.323274066833 -561.8814692159303
4 3838.548300051431 -357.963940412418
5 3568.429133236658 -217.5157822076317
6 3415.294429271441 -164.3201276288464
7 3250.626795570962 -177.8476781032778
8 3135.074736974791 -209.3427628793763
9 3064.891756725156 -274.160533421616
10 3036.73480731133 -434.8980233530799
11 2990.251820505647 -754.0196692571686
12 2875.288102581263 -1133.609364653339
13 2712.26760716287 -1390.203067705522
14 2589.508702453918 -1459.785339227129
15 2548.206798845188 -1391.15417327809
16 2558.42154641124 -1289.595610380564
17 2585.342413827436 -1161.836502709312
18 2598.240093315034 -1010.476262891723
19 2597.940805295737 -870.2547370078082
20 2578.589187190411 -748.6018064509564
21 2542.149205211897 -646.6498150593785
22 2492.457648958619 -562.813082706604
23 2438.056213133552 -489.9887727423657
24 2390.702028850784 -419.6232916778901
25 2359.088681261164 -343.0290023729096
26 2352.149688261699 -252.9309064432119
27 2372.010528658569 -146.3840370377701
28 2417.191223856452 -26.78113063959557
29 2481.692068326872 95.95218150279248
30 2553.66999125656 208.4018978183491
31 2622.909928245895 296.6639895490731
32 2679.138605229708 348.868844811127
33 2715.720678449598 355.1127758921609
34 2731.133357033319 307.3152604706543
35 2735.319315404056 200.7525269712677
36 2743.901845484729 42.36878042786697
37 2789.535205427917 -137.4068265315846
38 2907.284278784254 -279.1557916450932
39 3101.51363673166 -309.3400258779204
40 3354.84073023656 -173.8842390876472
41 3629.699003005723 57.87079105042631
42 3899.912142119998 195.6248546956826
43 4093.788724819972 202.8709051210071
44 4212.632438214271 203.1005359124779
45 4298.078342152732 261.0957284207466
46 4360.137718266117 323.195852549286
47 4392.897485672291 345.153281795579
48 4403.936449596681 345.8007623819838
49 4406.726971674351 347.3155102812066
50 4405.100507168168 348.9069375247359
51 4398.363593084753 348.0380667094805
52 4388.257275406638 348.7605848694843
53 4377.712132671101 354.0541447565811
54 4367.717307862886 361.6866572520221
55 4358.109838353097 369.552581255683
56 4349.012805511149 377.599409260421
57 4340.738544995668 385.9593853468275
58 4333.320294651734 394.2296414127763
59 4326.604477560982 401.9390430907752
60 4320.511290045624 408.9509630756495
61 4315.083394087268 415.1808986004405
62 4310.370587293712 420.4993774368647
63 4306.300036413455 424.9292138999776
64 4302.809750904476 428.6181424437618
65 4299.845400213642 431.7218610194448
66 4297.33962303605 434.282212866518
67 4295.244998779792 436.382040716459
68 4293.490243076632 438.1529780217525
69 4292.056362627971 439.6388896167734
70 4290.904588711397 440.8359224836179
71 4290.00604429019 441.8458036292629
72 4289.328031623862 442.7358305433811
73 4288.841030421861 443.5394063036065
74 4288.502996167786 444.2619713194777
75 4288.290815979399 444.9260647042015
76 4288.18538568926 445.5484445993877
77 4288.168272583707 446.1286373962014
78 4288.214482705289 446.6584338657456
79 4288.3107252084 447.1493099140644
80 4288.445334125058 447.6103888288671
81 4288.607190091748 448.0367885857083
82 4288.785026587654 448.4170973710081
83 4288.971186532535 448.7648147187108
84 4289.167871908463 449.0933688665705
85 4289.367371415353 449.3919333022568
86 4289.561764592201 449.6604647019874
87 4289.748867366224 449.9054236838213
88 4289.927516833947 450.1263586781245
89 4290.094870200344 450.3228459860547
90 4290.248551065289 450.4965756639247
91 4290.388461910716 450.650242438149
92 4290.516280674708 450.7899454292631
93 4290.630494233202 450.9120613992136
94 4290.727805971795 451.0158154535929
95 4290.809288382289 451.106362952384
96 4290.876566260494 451.1834942114126
97 4290.930585630997 451.2466408464727
98 4290.972293120434 451.298001593814
99 4291.00307248837 451.3402882476967
100 4291.0239586763 451.3748548873086
101 4291.035872072622 451.402594757441
102 4291.039973293191 451.424647797973
103 4291.037357112645 451.4419694300086
104 4291.02888284466 451.4547840556872
105 4291.015331191445 451.4634103664557
106 4290.997714054724 451.4688125083198
107 4290.976851199092 451.4718293616429
108 4290.953239354736 451.4725053273892
109 4290.927954107869 451.4719661219212
110 4290.901219452368 451.4711376054474
111 4290.873524612201 451.468585710109
112 4290.845787611654 451.46608486223
113 4290.818120251489 451.4633147297882
114 4290.790359416924 451.4591987490746
115 4290.762968446758 451.4549266911074
116 4290.736397288411 451.4503942090294
117 4290.71077799289 451.4455691137789
118 4290.686225059699 451.4408304202057
119 4290.662938959509 451.4364775657332
120 4290.640775394768 451.4324512375779
121 4290.620058813055 451.4280472536068
122 4290.601127321138 451.4247429929781
123 4290.583550586638 451.4214848999154
124 4290.567486380585 451.4183782688549
125 4290.553114177249 451.4163970861991
126 4290.540400855939 451.4149350409582
