"building-forces"
"Iteration" "fx-building etc.."
("Iteration" "fx-building" "fy-building")
1 3052.870830680627 -52.81642995477273
2 3577.561309365091 -121.8442416314242
3 3789.939391439239 -419.8267474324257
4 3666.982386001465 -185.4008202067455
5 3430.938059327459 -28.02775403848136
6 3296.813552256496 46.76223154367176
7 3159.409611809618 63.89444132658991
8 3066.77426414934 34.58712357797663
9 3023.434705956694 -100.7340997948918
10 2998.782439371913 -375.0569273067267
11 2918.896782163591 -782.4339356496239
12 2779.826959562975 -1141.743458247994
13 2641.083864187858 -1299.030564179472
14 2563.316920155466 -1248.163304378398
15 2579.651387253495 -1154.898878492136
16 2604.784801803272 -1042.263718598314
17 2622.960500577544 -896.6700653253314
18 2628.475126143692 -742.9679395170742
19 2618.675192306425 -609.1874108791369
20 2598.471702231934 -488.0531323730431
21 2564.50847273723 -382.588070478788
22 2528.467802225754 -285.5472532605501
23 2496.166286570654 -192.8752838559589
24 2476.310442392658 -100.5172117692113
25 2474.810914828008 -1.023897654960308
26 2493.635035900772 107.4274475973492
27 2530.304778216115 223.4657932624261
28 2582.171123096919 341.3226469154862
29 2641.971457359664 450.9449064285339
30 2700.202650379178 543.5843102685837
31 2748.326417981815 607.4811264098591
32 2781.916693179519 635.6825089263664
33 2797.731515874641 620.9000528126087
34 2795.446037958486 554.7730422649361
35 2781.142332454551 430.2221493061257
36 2766.534157732274 248.4039670644916
37 2778.501964708043 33.21004214265196
38 2854.818231713683 -165.2063964342547
39 3007.173380690684 -275.1700160872428
40 3224.576490397718 -221.704781125275
41 3469.314655899645 -35.96672634025879
42 3726.680314828326 120.8171660042326
43 3933.220854816653 152.6363976600016
44 4061.436549047299 146.2522407729632
45 4147.876345301858 187.8566093060772
46 4210.775681618587 246.4419906129619
47 4248.545348935946 271.9785547339227
48 4262.574997487218 272.6994026192251
49 4265.212751894413 274.8262911657891
50 4263.063146238235 280.9345081199033
51 4256.760328937773 285.1073147863949
52 4247.330334606504 287.9881005594143
53 4237.231383706854 293.2034666136283
54 4227.671118147038 300.2100756632126
55 4218.520655428143 307.1261941267619
56 4209.750016215489 313.7842424997655
57 4201.698261603403 320.6334524329543
58 4194.43565188424 327.4260555471592
59 4187.836628477884 333.7284709262103
60 4181.876927176868 339.5113418451363
61 4176.591488396472 344.789781460215
62 4171.925384627661 349.4861099004424
63 4167.849902651596 353.5156350269331
64 4164.346512148584 356.8855093204497
65 4161.376841179326 359.7047160580271
66 4158.899615610936 362.0828299995978
67 4156.85230583998 364.1101679471158
68 4155.173666466103 365.8481752900279
69 4153.814143371241 367.3273758906646
70 4152.726960607863 368.6258060161088
71 4151.87833638494 369.7384604266952
72 4151.241929452126 370.6623899667159
73 4150.786036640684 371.473647417449
74 4150.489485867207 372.212623354473
75 4150.321629603641 372.9013172950583
76 4150.256125242285 373.5391739931358
77 4150.274176821487 374.1320497461638
78 4150.359944558868 374.6672975623308
79 4150.496834100552 375.1614136012556
80 4150.678163978334 375.6380677128709
81 4150.889061167552 376.0817097449362
82 4151.115672312942 376.4894260982633
83 4151.35347804326 376.87138191591
84 4151.598684483419 377.2265157997392
85 4151.843004423557 377.547556556726
86 4152.080140687802 377.8377065757606
87 4152.307711094883 378.1025028650915
88 4152.523362150296 378.3429422836618
89 4152.723905079443 378.5585505581989
90 4152.90788037314 378.7508239354345
91 4153.074427478535 378.9219439061292
92 4153.222713555804 379.0733887821023
93 4153.352528673197 379.2071437560833
94 4153.465597323905 379.3283523244488
95 4153.561853791696 379.4347965019242
96 4153.639845532557 379.5265065661799
97 4153.701068834629 379.6066290338335
98 4153.747004419231 379.6748997554228
99 4153.778842682646 379.73170467823
100 4153.798373105834 379.7795770823775
101 4153.807388626206 379.8205950011074
102 4153.807210691528 379.8552876827089
103 4153.798984109495 379.8844122277012
104 4153.78400066861 379.9087482958394
105 4153.763474849317 379.9289755047864
106 4153.73841352652 379.9455414751644
107 4153.70972082674 379.9589588418598
108 4153.678265009057 379.9697236955712
109 4153.644832649055 379.9782463031563
110 4153.610135717308 379.9849356462591
111 4153.574771483806 379.9900650124375
112 4153.539268859639 379.9938738429939
113 4153.50406430036 379.9965717704579
114 4153.469505693475 379.9983630298402
115 4153.436043811027 379.9995302305397
116 4153.403992120042 380.0002108890119
117 4153.373531926039 380.0005496111712
118 4153.344799939786 380.000652950373
119 4153.317896784515 380.0005809231918
120 4153.292894037672 380.0003884969324
121 4153.269845654184 380.000166646598
122 4153.248733042495 379.999936617121
123 4153.229556390295 379.999749736796
124 4153.212276104179 379.999615234741
