"building-forces"
"Iteration" "fx-building etc.."
("Iteration" "fx-building" "fy-building")
1 3062.5048755417 -75.76173036436478
2 3595.918951560767 -156.2952797585071
3 3810.518582668061 -467.3511792791187
4 3678.446007352233 -250.09207925286
5 3431.021729150219 -106.2216721596849
6 3290.29086017482 -43.48661086771426
7 3145.66467665371 -38.46218997638948
8 3045.00065322795 -63.87977006823962
9 2991.743824033683 -170.9030456633031
10 2964.907185564207 -394.0093575951148
11 2903.718525618581 -758.7450562292606
12 2777.759619821215 -1117.593877578563
13 2630.68051074967 -1315.826547055814
14 2536.68041221798 -1325.122439942058
15 2522.658434436748 -1251.6505962997
16 2535.327080997985 -1143.185669487661
17 2560.899379074131 -1001.599259463113
18 2570.608729527924 -853.5540205256945
19 2565.628462034706 -723.0048868708151
20 2545.759797093668 -604.117266754067
21 2509.712958369566 -503.7151942624064
22 2464.703279060531 -416.5276278685086
23 2420.604428362077 -334.5543162905636
24 2388.109516093889 -252.28366555335
25 2372.982451042511 -163.6725134382912
26 2380.048262500719 -63.57435950228904
27 2409.629944777498 48.41163140371094
28 2459.90145760734 167.4832571253802
29 2522.338559919671 283.0150360078004
30 2586.745364484244 382.9712988730213
31 2645.921806320183 456.7357422433242
32 2690.508336169744 495.5135572986327
33 2715.57918624716 489.6807638943316
34 2720.643960679779 431.4042202426735
35 2713.980276529141 314.7493410980454
36 2710.302411578839 144.9604486016539
37 2739.722917944567 -51.87151080230063
38 2837.36588747527 -217.3686455428277
39 3009.938322604185 -282.5331994859323
40 3241.824860782043 -189.3154995953485
41 3494.506973378797 16.66117603015368
42 3748.970981221127 151.3293660016718
43 3940.971256479683 168.188992785663
44 4061.240728128084 169.356255129067
45 4145.14481744224 218.3346288263424
46 4204.961159383907 273.5871118610471
47 4238.850267115839 295.3391181088919
48 4251.435928572721 296.8407586280266
49 4254.08348892261 298.3890908928208
50 4251.883392912996 301.8786992562293
51 4245.418603820292 304.1676512818658
52 4235.968478014727 307.0331422862484
53 4225.775873446359 312.7491407804171
54 4216.090259913142 320.2737994335391
55 4206.962417448651 327.8508197420342
56 4198.295431247955 335.1752836039291
57 4190.297965593128 342.6110185941563
58 4183.107383469759 349.9601168948636
59 4176.623409811769 356.7693093700241
60 4170.766439926151 362.8661289945919
61 4165.541242984135 368.3204325167219
62 4160.967804479788 373.0942013800684
63 4157.004658143339 377.1219411302859
64 4153.584272911464 380.5050320982343
65 4150.676240970251 383.3843894858605
66 4148.226932092753 385.8285830484538
67 4146.189370381023 387.9063656687526
68 4144.503519897881 389.6499083473147
69 4143.114067950665 391.1521027882659
70 4142.007819964365 392.4320941826829
71 4141.152649854829 393.4889001906527
72 4140.511367270165 394.4084950876406
73 4140.058104195758 395.2551465993822
74 4139.762638141398 396.0504445210997
75 4139.594683707629 396.785096401361
76 4139.532551471101 397.4645329694329
77 4139.554786012128 398.0930791597266
78 4139.644161921828 398.6665419688295
79 4139.78294310355 399.1747866690951
80 4139.955763429973 399.6412229998566
81 4140.159798214327 400.0864819946157
82 4140.383222653318 400.4968163012024
83 4140.613466690248 400.8671185986661
84 4140.846672829482 401.2072807111374
85 4141.079557926912 401.5183396373568
86 4141.305990059253 401.7960286219884
87 4141.521210902341 402.0445110221581
88 4141.723584947025 402.2681199522274
89 4141.911380116198 402.4683192189962
90 4142.082260218946 402.6457166807725
91 4142.235626680085 402.8016621491231
92 4142.371735914074 402.9385593901109
93 4142.490744364328 403.0584875883872
94 4142.594221716508 403.1653226903006
95 4142.682143179089 403.2582301499649
96 4142.753143928363 403.3374789912466
97 4142.808580213704 403.4060543098931
98 4142.850069737329 403.4638442284161
99 4142.878952340994 403.5110383246276
100 4142.896648272254 403.5497895312997
101 4142.904676773349 403.5819163624533
102 4142.904282661853 403.608240396635
103 4142.896644501257 403.629584996645
104 4142.883007485765 403.6468025302484
105 4142.864507039416 403.6605324994841
106 4142.842079127764 403.6711231739739
107 4142.816550509166 403.6790498298997
108 4142.788653054574 403.6847432148259
109 4142.759101186051 403.6886449966071
110 4142.728455749754 403.6910358012412
111 4142.697258317051 403.6921123121613
112 4142.665986518037 403.6921771050359
113 4142.635045808904 403.6914608052314
114 4142.604772725149 403.6901548007838
115 4142.57544177409 403.6884625832733
116 4142.54727031163 403.6865349926575
117 4142.520449803049 403.6844646212494
118 4142.495090135283 403.6823288828864
119 4142.471292898928 403.6802080505734
120 4142.449208208321 403.6782421031708
121 4142.428783157789 403.6764101658373
122 4142.409989056056 403.6746929829626
123 4142.392801063755 403.6731277163842
124 4142.377218529628 403.6717272448434
125 4142.363009412774 403.6706737084746
