# n_drones, inlet-mean, inlet-std, alpha-mean, alpha-std
1.000000000000000000e+00 1.460403583608488631e+01 1.509700974855635869e-01 -1.501961624408995455e+01 5.698181220125031476e-01
2.000000000000000000e+00 1.459624163949925979e+01 1.049953060640210073e-01 -1.446529582761612076e+01 4.126274061987936781e-01
3.000000000000000000e+00 1.450817703095192179e+01 8.774913952708417175e-02 -1.476100566471572861e+01 3.295175378003591393e-01
4.000000000000000000e+00 1.445761667297702679e+01 7.348203721399360067e-02 -1.470007612903456007e+01 2.474589983415721728e-01
5.000000000000000000e+00 1.455329827094903727e+01 9.783906857672172719e-02 -1.455194472779841419e+01 1.592628088676905085e-01
6.000000000000000000e+00 1.453644384351690455e+01 6.444516711485458182e-02 -1.445448783079392641e+01 1.479293828564948732e-01
7.000000000000000000e+00 1.452594829427391510e+01 6.363654205003665965e-02 -1.460797169853921496e+01 1.883758716683694989e-01
8.000000000000000000e+00 1.452185717766929862e+01 4.773448419918153995e-02 -1.465205186158075179e+01 2.219220784387634371e-01
9.000000000000000000e+00 1.451856876242027994e+01 5.003390896301138785e-02 -1.463844360305891712e+01 1.815137075542993528e-01
1.000000000000000000e+01 1.454206714646696419e+01 4.426011699730852261e-02 -1.457117506885468217e+01 1.746323689473646690e-01
1.100000000000000000e+01 1.453292395560749384e+01 4.388896748549234172e-02 -1.450781362762849369e+01 1.548320762703125630e-01
1.200000000000000000e+01 1.452965588393910146e+01 4.104747476990203842e-02 -1.461715023716351247e+01 1.672087602288862551e-01
1.300000000000000000e+01 1.453376470501729756e+01 4.486302682485103499e-02 -1.456095560419446677e+01 1.845832618563607308e-01
1.400000000000000000e+01 1.454762242829828445e+01 4.552403731586808500e-02 -1.458305436878903905e+01 1.516684596956208164e-01
1.500000000000000000e+01 1.456828204453726272e+01 4.819347039938743499e-02 -1.448430873524142726e+01 1.427534712308472786e-01
1.600000000000000000e+01 1.454721899110671757e+01 4.128332566113573909e-02 -1.452204034431526480e+01 1.470496113454882736e-01
1.700000000000000000e+01 1.451123658493389534e+01 3.878549428832010759e-02 -1.449534462352103148e+01 1.431272398497829001e-01
1.800000000000000000e+01 1.455154366581032299e+01 3.891116478843208160e-02 -1.452786336142683155e+01 1.411910149548489257e-01
1.900000000000000000e+01 1.455726502977895009e+01 3.674821142229704046e-02 -1.443290123472537267e+01 1.558816960107072269e-01
2.000000000000000000e+01 1.453618144395047906e+01 3.738409837452939116e-02 -1.451344593205758926e+01 1.607510534234588562e-01
2.100000000000000000e+01 1.455524923594583697e+01 3.434290414291248095e-02 -1.452572124443241997e+01 1.495012228193219883e-01
2.200000000000000000e+01 1.451380654263044612e+01 3.325243234715066082e-02 -1.451454129304796403e+01 1.434448630591927676e-01
2.300000000000000000e+01 1.455329091688771470e+01 2.969810823663504920e-02 -1.438076129182548080e+01 1.650492235435334631e-01
2.400000000000000000e+01 1.450915468409360365e+01 3.647218356752428975e-02 -1.449356848298262612e+01 1.407255668439305329e-01
2.500000000000000000e+01 1.453001629729915223e+01 3.608679955287002333e-02 -1.452744290314879905e+01 1.377576855285247426e-01
2.600000000000000000e+01 1.453308603481393213e+01 3.050787997945232644e-02 -1.454228354170589199e+01 1.511088309272288488e-01
2.700000000000000000e+01 1.451969360685872523e+01 3.120316436132014593e-02 -1.447763834528244864e+01 1.435975802285499314e-01
2.800000000000000000e+01 1.453322029783079827e+01 3.059507189233988747e-02 -1.452347083660535887e+01 1.395941092325585775e-01
2.900000000000000000e+01 1.452021521281746530e+01 3.058233032616599137e-02 -1.453394318025225829e+01 1.366386534327524160e-01
3.000000000000000000e+01 1.452332833544215340e+01 2.886405339809286485e-02 -1.450085357118961227e+01 1.371629322096116765e-01
3.100000000000000000e+01 1.450707275632623272e+01 2.724135516828031164e-02 -1.454694260602609290e+01 1.480577843166148988e-01
3.200000000000000000e+01 1.449920015656011252e+01 2.796939725164686655e-02 -1.454398002290266056e+01 1.360435771033501329e-01
3.300000000000000000e+01 1.451440519798321560e+01 2.692076167529157057e-02 -1.450783767544350411e+01 1.400493952612983928e-01
3.400000000000000000e+01 1.450660984238354168e+01 2.586628912218201168e-02 -1.446300339631688558e+01 1.381432199061358446e-01
3.500000000000000000e+01 1.450097633277316866e+01 2.631076611398099757e-02 -1.447592614347668061e+01 1.413393536081722079e-01
3.600000000000000000e+01 1.451922452076345138e+01 2.976072903630465338e-02 -1.454208646227295354e+01 1.366313697739178767e-01
3.700000000000000000e+01 1.449728062602706302e+01 2.597970842939010400e-02 -1.450712769480901265e+01 1.386820571716475547e-01
3.800000000000000000e+01 1.452532087402680894e+01 2.480932372376912567e-02 -1.449332313691840390e+01 1.465685453645101388e-01
3.900000000000000000e+01 1.449634525265483731e+01 2.381188663964682942e-02 -1.452585847400319530e+01 1.385489841843678405e-01
4.000000000000000000e+01 1.450872947639830279e+01 2.446300102468583482e-02 -1.454524732553670496e+01 1.351983865318726330e-01
4.100000000000000000e+01 1.452115741639521751e+01 2.628163843423718046e-02 -1.448505128147678356e+01 1.387392099858792416e-01
4.200000000000000000e+01 1.451790275366492722e+01 2.554870119346690227e-02 -1.458962787364370861e+01 1.433496637104197668e-01
4.300000000000000000e+01 1.452017319781545979e+01 2.672504897838600540e-02 -1.453462952838702726e+01 1.360732422424208166e-01
4.400000000000000000e+01 1.451359878271756010e+01 2.422573819410964169e-02 -1.449653893385917414e+01 1.357146165743179644e-01
4.500000000000000000e+01 1.450283592316055703e+01 2.219924713810573699e-02 -1.454254056735267042e+01 1.364510839271887988e-01
4.600000000000000000e+01 1.450374985972106501e+01 2.565426290516595320e-02 -1.450462008670920255e+01 1.347770940457964362e-01
4.700000000000000000e+01 1.451096429044148906e+01 2.229298900705778408e-02 -1.451309635500849993e+01 1.351016837652979086e-01
4.800000000000000000e+01 1.450082688942293530e+01 2.295713410314069100e-02 -1.453324255631974360e+01 1.351845059918975467e-01
4.900000000000000000e+01 1.449315310822452396e+01 2.157802652763215687e-02 -1.449929737926815321e+01 1.383202172336537583e-01
5.000000000000000000e+01 1.450072948665667205e+01 2.202305824718914229e-02 -1.449869645366594995e+01 1.373167509818734033e-01
5.100000000000000000e+01 1.449960905952299939e+01 2.529362613171230040e-02 -1.448537136973861550e+01 1.364256209265194975e-01
5.200000000000000000e+01 1.449536305225185551e+01 2.322357361015897279e-02 -1.458006620218359117e+01 1.361511176219778740e-01
5.300000000000000000e+01 1.446997542499399714e+01 2.200929357781414991e-02 -1.451986184544353087e+01 1.354109161491625080e-01
5.400000000000000000e+01 1.449460044926172664e+01 2.083395352773232539e-02 -1.453829189132340005e+01 1.375992389040543162e-01
5.500000000000000000e+01 1.451177649423044080e+01 2.136282717367684117e-02 -1.449905585428584942e+01 1.352582104317348322e-01
5.600000000000000000e+01 1.451526013959363404e+01 2.366863904845333336e-02 -1.457487936081093416e+01 1.357070548818332389e-01
5.700000000000000000e+01 1.448598144127745790e+01 2.102391550346277907e-02 -1.454623857437919021e+01 1.351727913327809005e-01
5.800000000000000000e+01 1.449392439190552828e+01 1.999985139605956613e-02 -1.449948342229527221e+01 1.348542958739432640e-01
5.900000000000000000e+01 1.448843329142235170e+01 2.161540169431257555e-02 -1.453062409682631362e+01 1.376738781428269720e-01
6.000000000000000000e+01 1.451145623545481378e+01 2.060719134871410660e-02 -1.449967183992642816e+01 1.358029286408498071e-01
6.100000000000000000e+01 1.448682990496788747e+01 2.457701624718538341e-02 -1.451038288262638787e+01 1.344136956370835800e-01
6.200000000000000000e+01 1.449629626582288466e+01 2.195711790817288581e-02 -1.457376899787887403e+01 1.367071588112221958e-01
6.300000000000000000e+01 1.449902465184131195e+01 2.025874388752681859e-02 -1.451467096343587215e+01 1.354059720408940237e-01
6.400000000000000000e+01 1.449865514364980790e+01 2.013580725031414304e-02 -1.451649886558565328e+01 1.355552610801907809e-01
6.500000000000000000e+01 1.448698535015378219e+01 2.035388687491128737e-02 -1.454863589650637756e+01 1.352828862185407321e-01
6.600000000000000000e+01 1.449450474690443613e+01 2.009948276038271003e-02 -1.455304439427260554e+01 1.346591841409581491e-01
6.700000000000000000e+01 1.451453202116882579e+01 1.895584365618477318e-02 -1.453989910668739860e+01 1.350309002549197335e-01
6.800000000000000000e+01 1.449369360730698730e+01 1.998388148503506268e-02 -1.454554977313413033e+01 1.352686094422926866e-01
6.900000000000000000e+01 1.450160591465022364e+01 1.996934766415813661e-02 -1.452856754449927834e+01 1.349984331243614943e-01
7.000000000000000000e+01 1.449156208746011565e+01 1.836218660455747956e-02 -1.452557594555894838e+01 1.351466053746685492e-01
7.100000000000000000e+01 1.450390040777113576e+01 1.896950908451398160e-02 -1.455199124326076365e+01 1.346556492027032315e-01
7.200000000000000000e+01 1.450696861163594598e+01 1.877351264237220319e-02 -1.454172008750273370e+01 1.354672688892432642e-01
7.300000000000000000e+01 1.449297631326506242e+01 1.821185530841055999e-02 -1.452975027957743137e+01 1.342848935277079214e-01
7.400000000000000000e+01 1.449077883299911029e+01 1.854344628886859039e-02 -1.451428017739122467e+01 1.348263163770395401e-01
