nodenumber,    x-coordinate,    y-coordinate,    z-coordinate
1274,3.20E-02,9.02E-03,2.53E-02
1275,3.38E-02,1.44E-02,2.53E-02
1276,3.29E-02,9.17E-03,2.53E-02
1277,3.44E-02,1.37E-02,2.53E-02
1278,3.37E-02,9.59E-03,2.53E-02
1279,3.48E-02,1.29E-02,2.53E-02
1280,3.44E-02,1.02E-02,2.53E-02
1281,3.48E-02,1.11E-02,2.53E-02
1282,3.50E-02,1.20E-02,2.53E-02
1283,2.91E-02,1.15E-02,2.56E-02
1284,2.93E-02,1.07E-02,2.56E-02
1285,2.91E-02,1.25E-02,2.56E-02
1286,2.94E-02,1.34E-02,2.56E-02
1287,2.99E-02,9.90E-03,2.56E-02
1288,2.99E-02,1.41E-02,2.56E-02
1289,3.06E-02,9.35E-03,2.56E-02
1290,3.07E-02,1.47E-02,2.56E-02
1291,3.15E-02,1.49E-02,2.56E-02
1292,3.25E-02,1.49E-02,2.56E-02
1293,3.15E-02,9.06E-03,2.56E-02
1294,3.34E-02,1.46E-02,2.56E-02
1295,3.25E-02,9.06E-03,2.56E-02
1296,3.41E-02,1.41E-02,2.56E-02
1297,3.33E-02,9.34E-03,2.56E-02
1298,3.47E-02,1.33E-02,2.56E-02
1299,3.41E-02,9.89E-03,2.56E-02
1300,3.49E-02,1.25E-02,2.56E-02
1301,3.46E-02,1.06E-02,2.56E-02
1302,3.49E-02,1.15E-02,2.56E-02
1303,2.91E-02,1.15E-02,2.62E-02
1304,2.93E-02,1.07E-02,2.62E-02
1305,2.91E-02,1.25E-02,2.62E-02
1306,2.94E-02,1.34E-02,2.62E-02
1307,2.99E-02,9.90E-03,2.62E-02
1308,2.99E-02,1.41E-02,2.62E-02
1309,3.06E-02,9.35E-03,2.62E-02
1310,3.07E-02,1.47E-02,2.62E-02
1311,3.15E-02,1.49E-02,2.62E-02
1312,3.25E-02,1.49E-02,2.62E-02
1313,3.15E-02,9.06E-03,2.62E-02
1314,3.34E-02,1.46E-02,2.62E-02
1315,3.25E-02,9.06E-03,2.62E-02
1316,3.41E-02,1.41E-02,2.62E-02
1317,3.33E-02,9.34E-03,2.62E-02
1318,3.47E-02,1.33E-02,2.62E-02
1319,3.49E-02,1.25E-02,2.62E-02
1320,3.41E-02,9.89E-03,2.62E-02
1321,3.46E-02,1.06E-02,2.62E-02
1322,3.49E-02,1.15E-02,2.62E-02
1323,2.92E-02,1.11E-02,2.64E-02
1324,2.90E-02,1.20E-02,2.64E-02
1325,2.92E-02,1.29E-02,2.64E-02
1326,2.96E-02,1.03E-02,2.64E-02
1327,2.96E-02,1.38E-02,2.64E-02
1328,3.02E-02,9.60E-03,2.64E-02
1329,3.03E-02,1.44E-02,2.64E-02
1330,3.11E-02,1.48E-02,2.64E-02
1331,3.20E-02,1.50E-02,2.64E-02
1332,3.11E-02,9.17E-03,2.64E-02
1333,3.29E-02,1.48E-02,2.64E-02
1334,3.20E-02,9.02E-03,2.64E-02
1335,3.38E-02,1.44E-02,2.64E-02
1336,3.29E-02,9.17E-03,2.64E-02
1337,3.48E-02,1.29E-02,2.64E-02
1338,3.44E-02,1.37E-02,2.64E-02
1339,3.37E-02,9.59E-03,2.64E-02
1340,3.50E-02,1.20E-02,2.64E-02
1341,3.44E-02,1.02E-02,2.64E-02
1342,3.48E-02,1.11E-02,2.64E-02
1343,2.92E-02,1.11E-02,2.70E-02
1344,2.90E-02,1.20E-02,2.70E-02
1345,2.96E-02,1.03E-02,2.70E-02
1346,2.92E-02,1.29E-02,2.70E-02
1347,3.20E-02,9.02E-03,2.70E-02
1348,3.11E-02,9.17E-03,2.70E-02
1349,3.02E-02,9.60E-03,2.70E-02
1350,2.96E-02,1.38E-02,2.70E-02
1351,3.03E-02,1.44E-02,2.70E-02
1352,3.29E-02,1.48E-02,2.70E-02
1353,3.11E-02,1.48E-02,2.70E-02
1354,3.20E-02,1.50E-02,2.70E-02
1355,3.29E-02,9.17E-03,2.70E-02
1356,3.48E-02,1.11E-02,2.70E-02
1357,3.50E-02,1.20E-02,2.70E-02
1358,3.48E-02,1.29E-02,2.70E-02
1359,3.44E-02,1.37E-02,2.70E-02
1360,3.38E-02,1.44E-02,2.70E-02
1361,3.37E-02,9.59E-03,2.70E-02
1362,3.44E-02,1.02E-02,2.70E-02
1363,2.91E-02,1.15E-02,2.72E-02
1364,2.93E-02,1.07E-02,2.72E-02
1365,2.91E-02,1.25E-02,2.72E-02
1366,3.25E-02,9.06E-03,2.72E-02
1367,3.15E-02,9.06E-03,2.72E-02
1368,3.06E-02,9.36E-03,2.72E-02
1369,2.99E-02,9.91E-03,2.72E-02
1370,2.94E-02,1.34E-02,2.72E-02
1371,2.99E-02,1.41E-02,2.72E-02
1372,3.47E-02,1.33E-02,2.72E-02
1373,3.34E-02,1.46E-02,2.72E-02
1374,3.07E-02,1.47E-02,2.72E-02
1375,3.25E-02,1.49E-02,2.72E-02
1376,3.15E-02,1.49E-02,2.72E-02
1377,3.33E-02,9.34E-03,2.72E-02
1378,3.41E-02,9.89E-03,2.72E-02
1379,3.46E-02,1.06E-02,2.72E-02
1380,3.49E-02,1.15E-02,2.72E-02
1381,3.49E-02,1.25E-02,2.72E-02
1382,3.41E-02,1.41E-02,2.72E-02
1383,3.25E-02,9.07E-03,2.75E-02
1384,3.15E-02,9.08E-03,2.75E-02
1385,3.33E-02,9.35E-03,2.75E-02
1386,3.06E-02,9.37E-03,2.75E-02
1387,3.41E-02,9.90E-03,2.75E-02
1388,2.99E-02,9.92E-03,2.75E-02
1389,3.46E-02,1.06E-02,2.75E-02
1390,2.94E-02,1.07E-02,2.75E-02
1391,3.49E-02,1.15E-02,2.75E-02
1392,2.91E-02,1.15E-02,2.75E-02
1393,3.49E-02,1.25E-02,2.75E-02
1394,2.91E-02,1.25E-02,2.75E-02
1395,3.46E-02,1.33E-02,2.75E-02
1396,2.94E-02,1.33E-02,2.75E-02
1397,3.41E-02,1.41E-02,2.75E-02
1398,2.99E-02,1.41E-02,2.75E-02
1399,3.33E-02,1.46E-02,2.75E-02
1400,3.07E-02,1.46E-02,2.75E-02
1401,3.25E-02,1.49E-02,2.75E-02
1402,3.15E-02,1.49E-02,2.75E-02
