case,U_inlet [m/s],U_inlet label,AoA [deg],AoA label,fx final [N],fy final [N]
v14.41_a-15.096,14.41,mean - 3sd,-15.096,mean - 3sd,4137.532130282862,435.3388597315809
v14.41_a-14.571,14.41,mean - 3sd,-14.571,mean,4150.883668056816,409.808611753469
v14.41_a-14.046,14.41,mean - 3sd,-14.046,mean + 3sd,4163.632444670613,382.1362608346976
v14.542_a-15.096,14.542,mean,-15.096,mean - 3sd,4213.688767382806,443.3404126622668
v14.542_a-14.571,14.542,mean,-14.571,mean,4227.286632857378,417.3407447849609
v14.542_a-14.046,14.542,mean,-14.046,mean + 3sd,4240.270767039625,389.1593699279276
v14.674_a-15.096,14.674,mean + 3sd,-15.096,mean - 3sd,4290.540400855939,451.4149350409582
v14.674_a-14.571,14.674,mean + 3sd,-14.571,mean,4304.386003299356,424.9413510844495
v14.674_a-14.046,14.674,mean + 3sd,-14.046,mean + 3sd,4317.607711112192,396.2463399681701
