case,U_inlet [m/s],U_inlet label,AoA [deg],AoA label,fx final [N],fy final [N]
v14.391_a-14.925,14.391,mean - 3sd,-14.925,mean - 3sd,4130.745855720535,425.7936047505486
v14.391_a-14.475,14.391,mean - 3sd,-14.475,mean,4142.363009412774,403.6706737084746
v14.391_a-14.025,14.391,mean - 3sd,-14.025,mean + 3sd,4153.212276104179,379.999615234741
v14.514_a-14.925,14.514,mean,-14.925,mean - 3sd,4201.665912460487,433.0942208046902
v14.514_a-14.475,14.514,mean,-14.475,mean,4213.482164686346,410.5908935362686
v14.514_a-14.025,14.514,mean,-14.025,mean + 3sd,4224.518311738618,386.513909619689
v14.637_a-14.925,14.637,mean + 3sd,-14.925,mean - 3sd,4273.189170910357,440.4573579907603
v14.637_a-14.475,14.637,mean + 3sd,-14.475,mean,4285.206737845787,417.5701047664193
